Lyrics,Song,Artist,Genre,Composition
"Algo Mais
 
Às vezes penso que eu minto quando digo que eu te amo 
Porque isso já não é amor 
Às vezes sinto que estou morta quando não estas e me desperto 
Porque sei que isso não é amar 
É algo mais em que me completa 
Algo que não mata nem envenena 
É algo mais, algo mais que amar.
Algo Mais
 
É algo mais que a distância 
Que essa dor e a tristeza 
Sabemos que isso não vai nos separar 
Te dar um beijo cada noite 
Que tuas mãos me apaixonem 
E o nosso amor aumente cada dia mais 
Porque somos algo mais
Algo Mais
 
Às vezes creio ter vivido mais de mil anos contigo 
Porque eu sei que isso já não é amar 
Às vezes sinto que é mentira como entrastes na minha vida 
Porque sei que isso já não é amar 
É algo mais em que me completa 
Algo que não mata nem envenena 
É algo mais, algo mais que amar.
Algo Mais
 
É algo mais que a distância 
Que essa dor e a tristeza 
Sabemos que isso não vai nos separar 
Te dar um beijo cada noite 
Que tuas mãos me apaixonem 
E o nosso amor aumente cada dia mais 
Porque somos algo mais
Algo Mais
 
E eu sei que sem querer, porque em teus olhos eu me posso perder 
Contigo esqueço o que é temer, se você não sabe o que será para mim 
A noite, o dia no meu viver, o sangue nas veias, eu dou tudo por ti 
Contigo o mundo não tem final 
E o tempo não, não se vai acabar 
Acabar
Algo Mais
 
É algo mais que a distância 
Que essa dor e a tristeza 
Sabemos que isso não vai nos separar 
Te dar um beijo cada noite 
Que tuas mãos me apaixonem 
E o nosso amor aumente cada dia mais 
Porque somos algo mais 
Porque somos algo mais


  ",Algo Mais,Exaltasamba,Pagode,Sabe de quem é a composição? Envie pra gente.
"Alma Gêmea
 
Eu percebi no seu olhar 
Um anjo bom de me guiar 
No céu que não vai desabar 
O mel do meu prazer 
Um nó que não vai desatar 
A luz que veio pra ficar 
No coração 
Que sabe o que é sofrer 
Você também já percebeu 
Que o seu grande amor sou eu 
Que a solidão já se perdeu 
Vou te fazer feliz, vem 
Se o destino quis assim 
Bom pra você, melhor pra mim 
É impossível duvidar ainda 
Linda 
Pede pra Deus abençoar 
E o nosso amor eternizar 
Abrir meu coração 
Bem-vinda.
Alma Gêmea
 
Vem, meu pedacinho de maçã 
Me perfumar toda manhã 
Com esse cheirinho bom de fêmea, de fêmea 
Vem, preciso tanto de você 
Eu quero ser seu bem querer 
Você é minha alma gêmea


  Essa informação está errada? Nos avise. ",Alma Gêmea,Exaltasamba,Pagode,Composição: Delcio Luiz / Marquinho Pqd. 
"Alma Gêmea / Dom de Sonhar
 
Eu percebi no seu olhar 
Um anjo bom de me guiar 
No céu que não vai desabar 
O mel do meu prazer 
Um nó que não vai desatar 
A luz que veio pra ficar 
No coração 
Que sabe o que é sofrer 
Você também já percebeu 
Que o seu grande amor sou eu 
Que a solidão já se perdeu 
Vou te fazer feliz, vem 
Se o destino quis assim 
Bom pra você, melhor pra mim 
É impossível duvidar ainda 
Linda 
Pede pra Deus abençoar 
E o nosso amor eternizar 
Abrir meu coração 
Bem-vinda
Alma Gêmea / Dom de Sonhar
 
Vem, meu pedacinho de maçã 
Me perfumar toda manhã 
Com esse cheirinho bom de fêmea, de fêmea 
Vem, preciso tanto de você 
Eu quero ser seu bem querer 
Você é minha alma gêmea
Alma Gêmea / Dom de Sonhar
 
Diz que me ama 
Mesmo que seja mentira 
Mesmo que por brincadeira 
Nem que eu fique na mira 
Certeira da desilusão 
Sonhar nunca foi em vão 
E você é meu sonho predileto 
Pois saiba que quando estou quieto 
Estou com certeza viajando 
E segurando sua mão 
Pois saiba que quando estou quieto 
Estou com certeza viajando 
E segurando sua mão
Alma Gêmea / Dom de Sonhar
 
Transforma em verdade 
Este dom de sonhar 
Me dê a sua mão e vamos viajar, o, o, o, o 
É loucura te olhar e não te desejar 
Então mente pra mim que eu quero acreditar


  ",Alma Gêmea / Dom de Sonhar,Exaltasamba,Pagode,Sabe de quem é a composição? Envie pra gente.
"Alô Sou Eu
 
Eu não sei se você vai lembrar do meu nome 
Eu pedi pro garçom entregar meu telefone 
E pra minha surpresa você entregou o seu 
E por isso eu tô te ligando 
Alô? Sou eu! 
Sou o cara que você olhou a noite inteira 
Despertou em você paixão verdadeira 
Teu olhar, teu sorriso, meu amor se fez 
Foi então que eu perdi a timidez
Alô Sou Eu
 
Fui eu... que me aproximei. 
Fui eu... que me declarei. 
Fui eu... que me encantei. 
Fui eu... que me apaixonei.
Alô Sou Eu
 
Dererere escute o que eu vou te falar. 
Dererere eu quero mesmo é te encontrar. 
Dererere que tal falar de um sentimento. 
Dererere no meu apartamento?


  ",Alô Sou Eu,Exaltasamba,Pagode,Sabe de quem é a composição? Envie pra gente.
"Altas horas
 
Altas Horas
Altas horas
 
-Onde Está Você? 
Madrugada fria 
Eu aqui sozinho 
Precisando te encontrar 
Onde está você?...
Altas horas
 
Já são Altas Horas 
Eu te esperando 
Mas não quero nem pensar 
Que você não vem...
Altas horas
 
Prá me aquecer 
Nessa solidão 
Não suporto mais sofrer 
Quero tanto o teu amor...
Altas horas
 
E o tempo parou 
Eu nem percebi 
Acho que você chegou 
Quando adormeci...
Altas horas
 
Tenho tanto prá dizer 
Dentro do meu coração 
Eu não fiz por merecer 
Tanta solidão 
Eu preciso de você 
Estou apaixonado 
Não consigo te esquecer 
Fica do meu lado...(2x)
Altas horas
 
Madrugada fria 
Eu aqui sozinho 
Precisando te encontrar 
Onde está você?...
Altas horas
 
Já são Altas Horas 
Eu te esperando 
Mas não quero nem pensar 
Que você não vem...
Altas horas
 
Prá me aquecer 
Nessa solidão 
Não suporto mais sofrer 
Quero tanto o teu amor...
Altas horas
 
E o tempo parou 
Eu nem percebi 
Acho que você chegou 
Quando adormeci...
Altas horas
 
Tenho tanto prá dizer 
Dentro do meu coração 
Eu não fiz por merecer 
Tanta solidão 
Eu preciso de você 
Estou apaixonado 
Não consigo te esquecer 
Fica do meu lado...(3x)


  Essa informação está errada? Nos avise. ",Altas horas,Exaltasamba,Pagode,Composição: Beto Lima / Mauro Jr. / Xande de Pilares. 
"A Massa
 
A dor da gente 
É dor de menino acanhado 
Menino-bezerro pisado 
No curral do mundo a penar 
Que salta aos olhos 
Igual a um gemido calado 
A sombra do mal-assombrado 
Mansos meninos domados 
Massa de medos iguais 
Amassando a massa 
A mão que amassa a comida 
Esculpe, modela e castiga 
A massa dos homens normais 
Quando eu lembro da massa 
Da mandioca mãe da massa 
when I remember of massa of manioc 
Quando eu lembro da massa 
Da mandioca mãe da massa 
Nunca mais me fizeram quela presença, mãe 
Da massa que planta a mandioca mãe 
A massa qu'eu falo é a que passa fome, mãe
Da massa que planta a mandioca, mãe 
Quand je rappele de la masse du maniac, mere 
Quando eu lembro da massa da mandioca 
Lélé meu amor lélé 
Léle meu amor léé 
No cabo da minha enxada 
Não conheço corone 
Eu quero mas não quero, camarão 
Mulher minha na função, camarão 
Que está livre de um abraço 
Mas não está de um beliscão 
Torna a repetir meu amor: ai, ai, ai! 
É que o guarda civil não quer 
A roupa no quarador 
O guarda civil não quer a roupa no quarador 
Neu Deus onde vai parar 
Parar essa massa 
Meu Deus onde vai rolar 
Rolar essa massa...


  Essa informação está errada? Nos avise. ",A Massa,Exaltasamba,Pagode,Composição: Jorge Portugal / Raimundo Sodré. 
"Amor Dos Anjos
 
Tire os pés do chão e vem pisar no céu 
Descobrir o louco amor dos anjos 
O cometa é doce e tem calda de mel
Amor Dos Anjos
 
Pegue minha mão e vamos pras estrelas 
Linda, iluminada, amor eu quero vê-la 
Como mais um astro nesse carrossel
Amor Dos Anjos
 
Deixa amor eu levá-la em meus braços 
Que é pro tempo esculpir na paisagem 
O seu rosto gravado em meu peito, tatuagem 
E te amar na leveza das nuvens 
Quando enfim terminar a viagem 
Lua cheia, na sua barriga nossa imagem
Amor Dos Anjos
 
Minha língua no céu da sua boca 
Entre as estrelas que beleza 
Nossa viagem é muito louca 
Nas asas da delicadeza


  Essa informação está errada? Nos avise. ",Amor Dos Anjos,Exaltasamba,Pagode,Composição: Altay Veloso. 
"Amor e Amizade
 
Essa noite eu sonhei com você 
E queria bem mais que sonhar 
Acredito que já percebeu 
Na amizade entre você e eu 
Tá pintando uma diferença
Amor e Amizade
 
Eu não sei o que aconteceu 
Mas a minha intenção mudou 
Se te via como uma amiga 
Ou a dona do meu amor
Amor e Amizade
 
Eu tô confuso 
No que vou fazer 
Te querendo amor! 
Te querendo amor! 
Mas cheio de vontade 
De me declarar 
Te querendo amor! 
Te querendo amar! 
Será que a amizade 
Vai prevalecer 
Te querendo amor! 
Te querendo amor! 
O nosso sentimento 
Vai se libertar


  Essa informação está errada? Nos avise. ",Amor e Amizade,Exaltasamba,Pagode,Composição: Charlles André / Luiz Cláudio Picolé. 
"Amor Voraz
 
Basta um sorriso ou talvez um olhar, 
Um simples gesto seu pode apagar 
Um momento a sós e eu esqueço tudo 
Em meio a tantos ventos, os mal temporais 
Vou me perdendo nesse amor voraz 
E eu confesso cada vez te amo mais 
Eu tento de odiar por um segundo 
Mas sei que é em vão 
Não há amor maior do mundo
Amor Voraz
 
É sempre assim 
Basta o seu pedido de perdão pra mim 
E eu como um fraco volto e caio em suas mãos 
E a tempestade invade o meu coração 
Busquei essas palavras só pra te dizer 
Não vivo sem você.


  Essa informação está errada? Nos avise. ",Amor Voraz,Exaltasamba,Pagode,Composição: Walmir Borges. 
"Angola Nagô
 
ExaltaSamba - Angola Nagô
Angola Nagô
 
[<br/>, Angola Nagô  
É hora, Xangô! (BIS) 
Eu vou à Bahia, no Abaeté 
Fazer meus pedidos porque tenho fé 
Ver lindas baianas dançando afoxé 
E o ritual, menininha, lá é do lava-pé 
Angola Nagô 
É hora, Xangô! (BIS) 
Bahia linda! De belezas naturais! 
Suas lendas e costumes 
Sua crença e rituais 
Tem capoeira ritimada e agogô 
É aquela romaria 
Todos cantam ao Senhor 
Angola Nagô 
É hora, Xangô! (BIS) 
Mãe Menininha, rainha do Candomblé 
O seu nome é abençoado como figa de guiné 
E o jangadeiro rema até contra a maré 
Mãe Oxum que abençôe a todo filho 
Que tem fé! 
Angola Nagô 
É hora, Xangô! (BIS)


  Essa informação está errada? Nos avise. ",Angola Nagô,Exaltasamba,Pagode,Composição: Jairo / Luiz Pintor / Lula. 
